ID,名稱(中),名稱(英),類別,菜系,地區,地址,電話,傳真,網站,營業時間
"11341","翠華餐廳","TSUI WAH RESTAURANT","餐廳（酒店內）","中國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店地面層（G/F）編號G45店舖","+853 8883 2268","+853 2857 6569","http://www.tsuiwah.com","24小時"
"11344","萬豪火鍋","THE PLAZA GUEST","餐廳（酒店外）","火鍋","澳門","澳門友誼大馬路783-A，783-B，783-C，783-H號和長崎街35，51-A，51-B號新華大廈地下H舖及一樓B舖","+853 2870 0616","+853 2870 5424","http://www.grandplaza.com.mo","11:30-15:00
18:00-24:00"
"11351","御苑餐廳","VIDA RICA","餐廳（酒店內）","國際","澳門","澳門孫逸仙大馬路945號澳門文華東方酒店2樓","+853 8805 8888","+853 8805 8899","http://www.mandarinoriental.com/macau/fine-dining/vida-rica-restaurant","06:30-24:00"
"11373","麗景軒","LI JING XUAN","餐廳（酒店內）","中國","澳門","澳門高可寧紳士街7-13號濠璟酒店地庫一層","+853 2896 6633","+853 8989 9708","","08:30-15:00;18:00-22:00"
"11385","天巢法國餐廳","ROBUCHON AU DÔME","餐廳（酒店內）","法國","澳門","澳門殷皇子大馬路新葡京酒店41樓至43樓","+853 8803 7878","+853 2871 6350","http://www.grandlisboahotels.com/zh-hant/dining/robuchon-au-dome","12:00-14:30;18:30-22:30(星期二及星期三休息)"
"11462","丹桂軒","LAUREL","餐廳（酒店內）","中國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面銀河酒店地面層（G/F）及夾層（M/F）","+853 8883 2298","+853 8883 2115","http://www.laurelgroup.com.cn","平日:11:00-23:00
節假日:10:00-23:00"
"11466","亞洲美食坊","TASTES OF ASIA","餐廳（酒店內）","國際","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店地面層（G/F）","+853 8893 5533","+853 2899 0080","","星期日至星期四：10:00-24:00
星期五及星期六： 10:00-02:00"
"11497","鎮興酒樓","TOWNSWELL RESTAURANT","餐廳（酒店內）","中國","澳門","澳門哪咤廟斜巷6至6A號鎮興賓館2樓","+853 2835 6262","+853 2835 6261","","08:00-23:00"
"11502","滿庭軒餐廳","LONG CUISINE RESTAURANT","餐廳（酒店外）","中國","澳門","澳門友誼大馬路201號，賈羅布大馬路60號和佛山街31-35號新建業商業中心3樓A及C舖（娛樂場內）","","","","24小時"
"11601","婆仔屋1601","ALBERGUE 1601","餐廳（酒店外）","葡萄牙","澳門","澳門瘋堂斜巷8號BI-1(地面層及1樓)","+853 2836 1601","","","12:00 - 23:00"
"11608","99麵","99 NOODLES","餐廳（酒店內）","中國","澳門","澳門外港新填海區南灣湖計劃B區鄰近沙格斯大馬路，城市日大馬路及仙德麗街永利酒店地下（娛樂場內）","+853 8986 3629","+853 8986 3400","http://www.wynnmacau.com","10:00-02:00"
"11614","川香萬利","QUENTE! A SICHUAN BISTRÔ","餐廳（酒店內）","國際","澳門","澳門沙格斯大馬路，城市日大馬路及仙德麗街永利酒店地下","+853 8986 3616","+853 8986 3400","http://www.wynnmacau.com","07:00-22:30"
"11649","鹿港小鎮","LUGANG CAFE","餐廳（酒店內）","中國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店地面層（G/F）","+853 8883 2276","","http://www.galaxymacau.com/zh-hant/macau-restaurant/restaurant-directory/chinese/lugang","24小時"
"11802","北方鳴苑","NORTH PALACE","餐廳（酒店內）","中國","路氹填海區","路氹城路氹連貫公路第5及6部分，澳門康萊德酒店第1層（L1）","+853 8113 8930","","http://hk.londonermacao.com/macau-restaurants/north-palace.html","24小時"
"11904","翡翠拉麵小籠包(倫敦人)","CRYSTAL JADE LA MIAN XIAO LONG BAO (LONDONER)","餐廳（酒店內）","中國","路氹填海區","路氹城路氹連貫公路第5及6部分，澳門倫敦人第一層（L1）娛樂場內","+853 8113 7902","","http://hk.londonermacao.com/macau-restaurants/crystal-jade.html","24小時"
"11965","花道葡萄牙餐廳","FADO","餐廳（酒店內）","國際","澳門","澳門得勝馬路2-4號皇都酒店M層（2/F及3/F之夾層）","+853 2855 2222 - 142","+853 2856 3008","http://www.hotelroyal.com.mo/sc/dining/fado","07:00-10:30;12:00-15:00;18:00-23:00"
"11970","東國海鮮火鍋城","DONG GUO CANTONESE RESTAURANT","餐廳（酒店外）","中國","氹仔","氹仔成都街209號及大連街69號至尊花城地下E及Q座","+853 2883 5888","","","10:00-15:00;18:00-23:00"
"12263","帝王點心","IMPERIAL HOUSE DIM SUM","餐廳（酒店內）","中國","氹仔","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，澳門威尼斯人酒店第1層","+853 8118 9910","","","07:00-00:00"
"12307","新泰泰國海鮮火鍋","TALAY VIP RESTAURANT","餐廳（酒店外）","泰國","澳門","澳門友誼大馬路澳門漁人碼頭阿姆斯特丹館1-2號舖及一樓","+853 2872 8806","+853 2872 8816","http://www.talay-thai.net","12:00-02:30"
"12394","華峰點心酒家","WA FONG DIM SUM","餐廳（酒店外）","中國","澳門","澳門圓台巷17號及27-37號御景灣地下及一樓C及D座","+853 2876 5722  +853 2876 5733","+853 2876 5662","","08:00 - 15:00 & 18:00 - 23:00"
"12409","譽瓏軒餐廳","JADE DRAGON RESTAURANT","餐廳（酒店內）","中國","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段(新濠天地)，頤居酒店2樓(L2)及3樓(L2M) F210室","+853 8868 2822","","","11:00-15:00                                       
18:00-23:00"
"12536","金悅軒海鮮城","CIDADE DE MARISCO JIN YUE XUAN","餐廳（酒店外）","中國","澳門","澳門友誼大馬路澳門漁人碼頭新奧爾良I地下及一樓","+853 2872 5599","+853 2872 5218","http://www.jinyuexuan.com/page14","11:00-15:00;17:30-23:00"
"12550","珮納宮","THE PENA RESTAURANT","餐廳（酒店內）","西式","澳門","澳門馬六甲街206號及羅理基博士大馬路1118號，皇家金堡酒店閣樓（廚房）及二樓","","","","07:30-10:30;12:00-14:30;18:00- 22:00"
"12559","協成海鮮火鍋（銀河店）","HIP SENG SEAFOOD HOT POT RESTAURANT (GALAXY)","餐廳（酒店內）","火鍋","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店夾層（MF）","","","","11:00-15:00;17:00-02:00"
"12574","豐收台","THE MIX","餐廳（酒店內）","國際","澳門","澳門柏嘉街339號，澳門雅詩閣酒店一樓","+853 2883 3377  +853 2888 9821","+853 2883 6811  +853 2888 9829","","08:00-00:00"
"12702","皇廚","IMPERIAL KITCHEN","餐廳（酒店內）","澳門 ／ 葡萄牙","澳門","澳門東方明珠街君悅灣第7座澳門皇冠假日酒店2樓","+853 2888 6888","+853 2888 8686","http://www.cpmacau.com/","11:00-15:00;18:00-22:00(星期一至星期五)
10:00-15:00;18:00-22:00(星期六  星期日及公眾假期)"
"12721","藍灣餐廳","CAFÉ AZURE","餐廳（酒店外）","國際","澳門","澳門東方明珠街君悅灣第七座三樓","+853 2888 6888","+853 2888 8686","http://www.cpmacau.com/","06:30-22:00"
"12790","名廚都匯","URBAN KITCHEN","餐廳（酒店內）","國際","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，澳門JW萬豪酒店一樓(L1)","+853 8886 6228","","http://www.urbankitchenmacau.com/","07:00-10:30;12:00-14:30;18:00-21:30"
"12797","8½ OTTO E MEZZO BOMBANA","8½ OTTO E MEZZO BOMBANA","餐廳（酒店內）","法國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店一樓（L1）","+853 8886 2169","","","星期五-星期日12:00-14:00
星期一-星期日18:00-22:30
星期三休息"
"12800","麗思咖啡廳","THE RITZ-CARLTON CAFÉ","餐廳（酒店內）","國際","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，澳門麗思卡爾頓酒店地面層（G/F）","+853 8886 6868","","http://www.ritzcarltoncafemacau.com/","07:00-10:30;11:30-22:30"
"12802","百樂潮州酒樓","PAK LOH CHIU CHOW RESTAURANT","餐廳（酒店內）","中國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店地面層（G/F）","+853 8886 2188","","","11:00-23:00"
"12843","珀克餐廳","PRAHA RESTAURANT","餐廳（酒店內）","國際","澳門","澳門孫逸仙大馬路，澳門漁人碼頭，勵庭海景酒店夾層","+853 8799 6606","+853 8799 6594","http://www.fishermanswharf.com.mo","06:30-01:00"
"12877","麗軒","LAI HEEN","餐廳（酒店內）","中國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，澳門麗思卡爾頓酒店三十四樓（L51層）","+853 8886 6868","","http://www.laiheenmacau.com/","12:00-15:00(星期二至星期五)
11:30-13:00 & 13:30-15:00(星期六至星期日)  
18:00-22:00(星期二至星期日)"
"12897","翠華餐廳","TW TSUI WAH RESTAURANT","餐廳（酒店內）","中國","氹仔","氹仔島南部遊艇碼頭鄰近西堤圓形地，百老匯酒店配套大樓（一）地面層","+853 2882 5963  +853 8883 1828","+853 2857 6569  +853 8883 7713","http://www.broadwaymacau.com.mo/zh-hant/macau-restaurant","07:00-01:00"
"12906","度小月","DU HSIAO YUEH","餐廳（酒店內）","中國","氹仔","氹仔島南部遊艇碼頭鄰近西堤圓形地，百老匯酒店配套大樓（二）地面層","+853 8883 1878","+853 8883 7713","http://www.broadwaymacau.com.mo/zh-hant/macau-restaurant","星期日至星期四:11:00-24:00
星期五  星期六和公眾假期: 11:00-01:00"
"12966","雅舍","THE MANOR","餐廳（酒店內）","澳門 ／ 葡萄牙","路氹填海區","路氹城路氹連貫公路第5及6部分，澳門瑞吉酒店第1層（L01）","+853 8113 2777","+853 2882 8890","http://www.themanormacao.com","06:30 - 23:00"
"12986","玉蘭苑","JADE ORCHID","餐廳（酒店內）","中國","澳門","澳門孫逸仙大馬路，澳門漁人碼頭，勵庭海景酒店夾層","+853 8799 6316","+853 8799 6594","http://www.fishermanswharf.com.mo","11:00-15:00
18:00-23:00"
"13000","星滙餐廳","SPOTLIGHT","餐廳（酒店內）","國際","路氹填海區","路氹城填海區G300  G310及G400地段，新濠影滙酒店，二樓(2/F)，舖位P01-F008","+853 8865 6668","+853 8869 6668","http://www.studiocity-macau.com","06:30-10:30
12:00-15:00
18:00-22:30"
"13004","協成海鮮火鍋（新濠影滙店）","HIP SENG SEAFOOD HOT POT RESTAURANT (STUDIO CITY)","餐廳（酒店內）","中國","路氹填海區","路氹城填海區G300、G310及G400地段，新濠影滙酒店，一樓（1/F），舖位PUG-F017（娛樂場內）","+853 2883 2232","+853 2883 2292","http://www.jinyuexuan.com/page14","11:30-15:00;17:00-01:00"
"13005","東南薈","SPICE ROAD","餐廳（酒店內）","中國 ／ 國際","路氹填海區","路氹城填海區G300  G310及G400地段，新濠影滙酒店，一樓（1/F），舖位PUG-F036（娛樂場內）","+853 8865 6640","+853 8869 6640","http://www.studiocity-macau.com","11:00-15:00
18:00-23:00"
"13051","咖啡苑","FONTANA BUFFET","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","+853 8889 3698","+853 8889 3600","http://www.wynnpalace.com","06:30-23:00"
"13052","皇宮椒好運","PALACE CAFE","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層（娛樂場內）","+853 8889 3677","+853 8889 3600","http://www.wynnpalace.com","11:00-23:00"
"13053","永翠宮","LAKEVIEW PALACE","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","+853 8889 3638","","http://www.wynnresortsmacau.com","12:00-15:00;17:30-23:00"
"13054","永利扒房","SW","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","+853 8889 3628","","http://www.wynnresortsmacau.com","17:30-23:00(星期三至星期一)"
"13056","泓","MIZUMI","餐廳（酒店內）","日本","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","+853 8889 3688","","http://www.wynnresortsmacau.com","17:30-23:00(星期二至星期日)"
"13057","99麵","99 NOODLES","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層（娛樂場內）","+853 8889 3678","+853 8889 3600","http://www.wynnpalace.com","10:00-02:00"
"13058","譚卉","CHEF TAM'S SEASONS","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","","","","12:00-15:00;17:30-22:30"
"13061","御瀛日本料理","THE WIN JAPANESE CUISINE","餐廳（酒店內）","日本","澳門","澳門柏嘉街339號，澳門雅詩閣酒店一樓","+853 2886 0000","+853 2878 0166","","11:00-22:30"
"13062","順軒海鮮火鍋酒家","SHUN HIN SEAFOOD RESTAURANT","餐廳（酒店內）","中國","澳門","澳門柏嘉街339號，澳門雅詩閣酒店一樓","+853 2883 6666","+853 2878 0166","","10:30-22:00"
"13070","鮨金悦","SUSHI KINETSU","餐廳（酒店內）","日本","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），頤居酒店地面層（L01）","+853 2878 1606","+853 2878 1630","http://www.jinyuexuan.com/page14","12:00-14:30;18:00-22:30(星期二休息）"
"13114","海銀海記潮汕特色牛肉火鍋","HOI NGAN HOI KEI","餐廳（酒店內）","中國","氹仔","氹仔島南部遊艇碼頭鄰近西堤圓形地，百老匯酒店配套大樓（二）地面層","+853 2899 5511","","http://www.facebook.com/beefhotpot/","12:00-00:00"
"13126","松花湖水餃","DUMPLINGS LAGO CHONG FA","餐廳（酒店內）","中國","氹仔","氹仔島南部遊艇碼頭鄰近西堤圓形地，百老匯酒店配套大樓（一）一樓層","+853 2836 6133","+853 8883 7713","http://www.broadwaymacau.com.mo/zh-hant/macau-restaurant","09:00-03:00"
"13127","福龍葡國餐","DRAGON PORTUGUESE CUISINE","餐廳（酒店內）","葡萄牙","氹仔","氹仔島南部遊艇碼頭鄰近西堤圓形地，百老匯酒店配套大樓（二）地面層","+853 8883 1816  +853 8883 3338","+853 8883 7713","http://www.broadwaymacau.com/restaurant/dragon-portuguese-cuisine/?type=all","12:00-15:00
18:00-23:00"
"13181","真點心小廚","ZHEN DIM SUM KITCHEN","餐廳（酒店內）","中國","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），頤居酒店2樓（L02）7號舖","+853 2888 0181","+853 2878 1630","http://www.jinyuexuan.com/page14","11:30-15:00;17:00-23:00"
"13200","甜藝廊","SWEETS","餐廳（酒店內）","其他","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宫酒店首層","+853 8889 3683","+853 8889 3600","http://www.wynnpalace.com","08:00-23:00"
"13221","熱情","PASSION. BY GÉRARD DUBOIS","餐廳（酒店內）","美國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店第2期地面層(G/F)","+853 8886 2175","","http://www.galaxymacau.com/en/dining/restaurants/passion-by-gerard-dubois","星期日-星期四 09:00-22:00
星期五  星期六及公眾假期 09:00-00:00"
"13224","巴黎人法式餐廳","BRASSERIE PARISIAN","餐廳（酒店內）","法國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第3層（L03）","+853 8111 9200","","http://hk.parisianmacao.com/macau-restaurants/brasserie.html","12:00-15:00;18:00-22:30(星期二至星期日)"
"13225","巴黎人自助餐","LE BUFFET PARISIAN","餐廳（酒店內）","國際","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第1層（L01)","+853 8111 9250","","http://hk.parisianmacao.com/macau-restaurants/le-buffet.html","07:00-13:00;18:00-22:00"
"13229","色香味","MARKET BISTRO","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第1層(L01)","+853 8111 9270","","http://hk.parisianmacao.com/macau-restaurants/market-bistro.html","24小時"
"13234","永玖坊","INFINITE","餐廳（酒店內）","中國","澳門","澳門友誼大馬路及孫逸仙大馬路，澳門漁人碼頭勵宮酒店地下","+853 8801 8002","+853 8801 8019","http://www.legendpalace.com.mo","24小時"
"13236","勵皇軒","THE GRAND PALACE","餐廳（酒店內）","中國","澳門","澳門友誼大馬路及孫逸仙大馬路，澳門漁人碼頭勵宮酒店2樓","+853 8801 8008","","","11:00-15:00;18:30-23:30"
"13246","翡翠拉麵小籠包","CRYSTAL JADE LA MIAN XIAO LONG BAO","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第1層（L01）","+853 8111 9220","","http://hk.parisianmacao.com/macau-restaurants/crystal-jade.html","11:00-23:00"
"13250","御蓮宮","LOTUS PALACE","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第3層（L03）","+853 8111 9260","","http://hk.parisianmacao.com/macau-restaurants/lotus-palace.html","12:00-15:00;18:00-22:30(星期一、星期三至星期五)
11:00-15:00;18:00-22:30(星期六 星期日及公眾假期)"
"13263","松花湖水餃","SONGHUAHU DUMPLINGS","餐廳（酒店內）","中國","路氹填海區","路氹城鄰近路氹連貫公路及澳門科技大學之地段（新濠天地），迎尚酒店2樓（L02）8號舖","+853 2885 5155","","http://www.cityofdreamsmacau.com/sc/dine/chinese/songhuahu","11:00-00:00"
"13327","巴黎軒","LA CHINE","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，“澳門巴黎人”酒店第6層(L06)","+853 8111 9210","","http://hk.parisianmacao.com/macau-restaurants/la-chine.html","11:00-15:00( 星期六至星期日)
18:00-22:30(星期四至星期二)"
"13336","濤岸","COAST","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面層(G/F)","+853 8806 2328","","http://www.mgm.mo/zh-hant/cotai/dining/coast","07:00-15:00;18:00-23:00"
"13340","雅吉","AJI","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面夾層(GM/F)","+853 8806 2308","","http://www.mgm.mo/en/cotai/dining/aji","18:00-23:00(星期一  星期三至星期五)
12:00-15:00;18:00-23:00(星期六至星期日)"
"13341","盛焰","GRILL 58.°","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路“美獅美高梅”酒店地面夾層(GM/F)","+853 8806 2318","","http://www.mgm.mo/zh-hant/cotai/dining/grill-58","18:00-23:00(星期二至星期五) 
12:00-15:00;18:00-23:00(星期六至星期日)"
"13342","視博茶點","ANYTIME","餐廳（酒店內）","國際","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面層（G/F）及地庫一層(B1)","+853 8806 2338","","http://www.mgm.mo/zh-hant/cotai/dining/anytime","11:00-21:00"
"13343","淳","CHÚN","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面層(G/F)","+853 8806 2388","","http://www.mgm.mo/zh-hant/cotai/dining/chun","12:00-15:00;18:00-22:00"
"13344","好鍋","HAO GUO","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面層(G/F)","+853 8806 2368","","http://www.mgm.mo/zh-hant/cotai/dining/hao-guo","11:00-15:00;18:00-23:00"
"13345","蜀道","FIVE FOOT ROAD","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路美獅美高梅酒店地面層(G/F)","+853 8806 2358","","http://www.mgm.mo/en/cotai/dining/five-foot-road","12:00-15:00;18:00-22:00"
"13450","茶杯","CHA BEI","餐廳（酒店內）","美國","路氹填海區","路氹填海區，蓮花海濱大馬路東面及望德聖母灣大馬路南面，銀河酒店一樓（L1）","+853 8886 2147","","http://www.galaxymacau.com/en/dining/restaurants/chabei","10:30-21:00"
"13523","紅8粥麵","RED 8","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層（娛樂場內）","+853 8889 3648","","http://www.wynnresortsmacau.com","24小時"
"13534","海灣餐廳(氹仔分店)","RESTAURANTE LITORAL (TAIPA)","餐廳（酒店外）","葡萄牙","氹仔","氹仔地堡街53-67號泉福新邨第二期第四座偉展閣地下S T U及V座","+853 2882 5255","+853 2882 5025","http://www.restaurantelitoral-taipa.com/","12:00-21:00"
"13654","鴻運坊","EMERALD HOUSE","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路，第一地塊，第3地段，澳門巴黎人酒店第1層(L01)(娛樂場內)","+853 8111 9030","","http://hk.parisianmacao.com/macau-restaurants/emerald-house.html","11:00-23:00(星期一至星期四)
11:00-01:00(星期五至星期日)"
"13667","招牌麵","SIGNATURE NOODLES","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近路環電廠圓形地，“葡京人”酒店一樓(L01)","+853 8882 6680","","http://www.lisboetamacau.com/zh-hant/dining/venues/signature-noodles/","08:30-22:30"
"13668","燊哥冰室","STANLEY' S CAFÉ","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近路環電廠圓形地，葡京人酒店一樓（L01）","+853 8882 6668","","http://www.lisboetamacau.com/zh-hant/dining/venues/stanleys-cafe/","24小時"
"13773","小意．大利","PRONTO","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近體育館大馬路，永利皇宮酒店首層","+853 8889 3699","","http://www.wynnresortsmacau.com","11:00-22:00"
"13781","彤","TEKKA","餐廳（酒店內）","中國","澳門","澳門外港新填海區南灣湖計劃B區鄰近沙格斯大馬路 城市日大馬路及仙德麗街永利酒店地下(娛樂場內)","+853 8986 3368","","http://www.wynnresortsmacau.com","12:00-02:00"
"13839","蟹家大院","蟹家大院","餐廳（酒店內）","中國","路氹填海區","路氹填海區，鄰近路環電廠圓形地，葡京人酒店一樓（L01）","","","","12:00-22:30"
"13841","喜樂","HIRO","餐廳（酒店內）","國際","路氹填海區","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，澳門威尼斯人酒店 第1層1048商舖","+853 8118 9998","","http://hk.venetianmacao.com/restaurants/signature/hiro.html","12:00-15:00;18:00-22:30 (星期一休息)"
"13846","松花湖水餃","DUMPLINGS LAKE CHONG FA","餐廳（酒店外）","中國","路氹填海區","路氹城填海區G300，G310及G400地段，新濠影滙，一樓(L01)，舖位1071 (電影製作業區)","+853 2821 2281","","http://www.studiocity-macau.com/en/dining/song-hua-hu","11:00-22:00"
"13865","當奧豐素1890","DON ALFONSO 1890","餐廳（酒店內）","意大利","路氹填海區","路氹填海區，射擊路，溜冰路，網球路及機場大馬路， 上葡京 三樓","","","","18:00-22:30 (星期二至星期四)
12:00-15:00；18:00-22:30 (星期五至星期日)"
"13868","御花園","PALACE GARDEN","餐廳（酒店內）","中國","路氹填海區","路氹填海區，射擊路，溜冰路，網球路及機場大馬路，上葡京酒店三樓","+853 8881 1380","","http://www.grandlisboapalace.com/tc/restaurants-n-bars/palace-garden","12:00-14:30;18:30-22:00(星期二休息)"
"13870","瑞兆","ZUICHO","餐廳（酒店內）","中國","路氹填海區","路氹填海區，射擊路，溜冰路，網球路及機場大馬路，上葡京酒店三樓","+853 8881 1330","","http://www.grandlisboapalace.com/tc/restaurants-n-bars/zuicho","18:00-22:30(星期二至星期五)
12:30-14:30;18:00-22:30(星期六 星期日及公眾假期)"
"13871","華亭","HUA TING","餐廳（酒店內）","中國","路氹填海區","路氹填海區，射擊路，溜冰路，網球路及機場大馬路，上葡京酒店二樓","+853 8881 1800","","http://www.grandlisboapalace.com/tc/restaurants-n-bars/hua-ting","12:00-15:00;18:00-21:30(星期四至星期二及公眾假期）"
"13877","味賞","MESA","餐廳（酒店內）","澳門 ／ 葡萄牙","路氹填海區","路氹填海區，射擊路，溜冰路，網球路及機場大馬路，上葡京酒店三樓","+853 8881 1800","","http://www.grandlisboapalace.com/tc/restaurants-n-bars/mesa","07:00-10:30;18:00-22:30 (星期一)
18:00-22:30(星期三至星期五)
07:00-10:30;12:00-15:00; 18:00-22:30 (星期六及星期日)"
"13956","醉江南","JIANG NAN","餐廳（酒店內）","中國","路氹填海區","路氹填海區，路氹連貫公路以西，望德聖母灣大馬路以南，澳門威尼斯人酒店1樓(L01)","+853 8118 9818","","http://hk.venetianmacao.com/restaurants/chinese/jiang-nan.html","12:00-15:00;18:00-23:00(星期二休息)"
